     Value-Weight Local  Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
Date      Mkt   High    Low   High    Low   High    Low   High    Low   Zero
199506   0.21   1.36   0.47   0.55   0.47  -0.57   1.27  -1.47   1.18  -3.35
199507   5.60   1.06   9.38   0.95  10.61   2.92   9.61   1.33   8.57   8.38
199508   1.07   1.12   0.91   1.20   1.13  -0.27   1.82   2.66  -0.25   7.00
199509  -0.11   1.20  -2.52   1.60  -2.39   1.74  -0.12   2.99  -2.84   0.03
199510  -2.71  -3.79  -2.35  -3.97  -2.72  -3.80  -2.64  -2.63  -4.08  -4.35
199511   4.90   5.48   5.20   5.34   6.03   3.73   6.93   4.36   5.91   6.71
199512   2.30   3.78   1.27   3.80   1.28   4.12   0.38   3.61   1.66   0.95
199601   3.94   1.82   2.05   6.42   3.48   3.86   3.91   5.22   1.22   7.37
199602   0.21   2.60   1.39  -2.09   1.40   2.83   1.28  -1.60   1.66   8.41
199603  -2.63  -1.75  -2.10  -4.40  -2.05  -1.61  -0.62  -5.24  -1.11  -3.58
199604   4.23   1.16   6.62   3.15   6.11   3.90   3.90   2.47   5.26   6.69
199605  -2.24  -3.51  -2.25  -1.82  -2.34  -2.58  -2.46  -0.73  -3.08   4.60
199606  -0.88   1.37  -2.93   0.50  -3.33   0.31   0.09   1.26  -2.20  -9.48
199607  -2.31  -6.50  -2.85  -0.15  -2.42  -2.28  -4.09  -0.88  -4.29   0.45
199608   3.78   2.52   2.43   4.55   2.61   1.76   4.02   3.74   3.02   9.27
199609   1.30   0.14  -1.92   5.46  -3.13   2.88  -0.94   4.89  -2.60  -4.04
199610   3.06   2.97   2.35   3.54   2.96   0.71   3.13   3.09   2.79   8.94
199611   2.01  -1.86   1.51   4.42   1.09   1.75  -3.93   4.35   0.03   3.81
199612   2.26   4.31   1.41   2.66   0.60  10.59   2.23   2.41   0.76  -2.17
199701   0.27  -0.43  -1.98   3.27  -1.09   0.76  -1.85   3.25  -1.16  -1.51
199702   1.34   3.60  -1.68   2.69  -1.97   4.82  -0.91   2.97   0.93   0.95
199703  -0.78  -3.30  -0.76  -0.76   0.49   2.19   0.46   0.47  -3.70  -6.15
199704   3.45   0.09   6.72   3.34   5.01   2.66   4.80   4.61   2.95   0.82
199705   5.13   3.67   5.12   5.78   6.05   3.62   5.21   6.17   4.16  -0.07
199706   5.20   7.11   4.24   7.00   2.90   8.32   3.95   6.31   5.00  -3.47
199707   0.54  -0.59  -2.89   3.46  -3.16  -0.78  -0.54   2.76  -1.28  -6.62
199708  -5.26  -4.15  -5.12  -5.90  -6.49  -4.67  -6.56  -5.53  -5.68  -6.66
199709   7.53   8.82   3.87  10.97   2.61   4.45   8.84  10.52  12.11   2.69
199710 -10.26  -8.05 -12.28  -7.09 -14.83 -10.24 -15.65  -8.93 -10.93 -18.63
199711   0.48   4.38  -2.89   3.28  -3.20  -0.28  -1.38   1.40   1.55 -13.53
199712   6.96   6.35   7.79   7.05   7.14   6.42   6.48   6.31   7.94   3.86
199801   1.56   3.05   1.21  -0.62   2.60   0.93   4.51  -0.74   2.73  10.52
199802   3.17   1.31   6.23   1.37   6.23   0.07   1.71   0.61   6.81   0.24
199803   2.27   1.83   0.75   2.06   1.15   4.57   2.59   2.37   1.84   2.94
199804   0.21   1.76  -1.16   2.65  -2.28  -0.74   0.59   2.45  -1.66  16.41
199805  -0.64  -0.23   0.95   2.07  -0.40  -6.50  -1.79   2.75  -0.15 -16.58
199806   0.72   8.14  -0.98  -4.23   4.14  -2.72   7.81  -3.31   9.90  -7.52
199807   2.33  -0.77   6.75   5.63   3.70  -0.04  -2.41   4.79   2.84   1.56
